Player,Team,Opp,Market,Main,MainOdds,Rung,EstOdds,L10,L15,OppD,OwnVol,Spread,TeamChange,PrevTeam,Last3,Pos,Games,Avg10,Streak,Real
Bijan Robinson,ATL,GB,rush_att,19.0,101,14+,-517,10/10,13/15,neutral,SOFT,4.5,False,ATL,"[15, 21, 16]",RB,36,18.9,11,True
Bijan Robinson,ATL,GB,rush_yds,80.0,-109,70+,-174,9/10,11/15,neutral,SOFT,4.5,False,ATL,"[33, 83, 72]",RB,36,95.4,2,True
Brian Robinson Jr.,ATL,GB,rush_yds,25.0,-112,20+,-187,9/10,13/15,neutral,SOFT,4.5,True,SF,"[9, 31, 51]",RB,31,28.5,2,True
Christian Watson,GB,ATL,rec_yds,72.0,-112,40+,-360,8/10,11/15,neutral,neutral,-4.5,False,GB,"[113, 147, 41]",WR,26,65.6,3,True
